name,id,align,eye,hair,sex,alive,appearances,first appearance,year
daniel kaufman (earth-616),secret identity,bad characters,,black hair,male characters,living characters,5.0,aug-04,2004.0
claire temple (earth-616),no dual identity,good characters,brown eyes,black hair,female characters,living characters,45.0,aug-72,1972.0
basil sandhurst (earth-616),secret identity,bad characters,white eyes,black hair,male characters,living characters,67.0,apr-69,1969.0
assassin (maria) (earth-616),secret identity,bad characters,,black hair,female characters,deceased characters,2.0,mar-76,1976.0
fiona mcmurdo (earth-616),,,,blond hair,female characters,living characters,2.0,jan-82,1982.0
craig hollis (earth-616),secret identity,good characters,blue eyes,blond hair,male characters,living characters,32.0,jul-89,1989.0
marcus coriander (earth-616),public identity,bad characters,blue eyes,brown hair,male characters,living characters,2.0,mar-86,1986.0
joelle guthrie (earth-616),public identity,neutral characters,,brown hair,female characters,living characters,7.0,nov-84,1984.0
roland treece (earth-616),,,,,male characters,living characters,11.0,mar-88,1988.0
fletcher (earth-616),public identity,good characters,,grey hair,female characters,living characters,2.0,dec-94,1994.0
thermatron (earth-616),secret identity,bad characters,,no hair,,living characters,1.0,jun-78,1978.0
miles warbeck (earth-616),secret identity,,,brown hair,male characters,deceased characters,2.0,dec-01,2001.0
leslie evans (earth-616),no dual identity,good characters,,black hair,male characters,living characters,1.0,nov-60,1960.0
francis klum (earth-616),secret identity,bad characters,brown eyes,brown hair,male characters,deceased characters,17.0,aug-02,2002.0
paul patterson (earth-616),,bad characters,,,male characters,living characters,7.0,jan-05,2005.0
wendy sherman (earth-616),secret identity,neutral characters,blue eyes,white hair,female characters,living characters,8.0,jun-86,1986.0
brona (earth-616),secret identity,,,,male characters,living characters,8.0,aug-67,1967.0
arthur delacourte (earth-616),secret identity,bad characters,red eyes,,male characters,living characters,2.0,feb-00,2000.0
alvin martinike (earth-616),secret identity,bad characters,,bald,male characters,living characters,1.0,mar-46,1946.0
winsor (earth-616),,bad characters,blue eyes,black hair,male characters,deceased characters,9.0,feb-11,2011.0
carolyn schist (earth-616),no dual identity,neutral characters,blue eyes,brown hair,female characters,living characters,1.0,nov-74,1974.0
james bourne (earth-616),public identity,neutral characters,brown eyes,,male characters,living characters,44.0,oct-86,1986.0
longnails legarya (earth-616),public identity,bad characters,,black hair,male characters,living characters,1.0,may-42,1942.0
aquarius (lmd) (earth-616),secret identity,bad characters,,blond hair,male characters,living characters,8.0,jul-77,1977.0
zombie (howling commandos) (earth-616),secret identity,,,no hair,male characters,living characters,3.0,dec-05,2005.0
jason struthers (earth-616),,bad characters,,red hair,male characters,living characters,1.0,may-78,1978.0
dean boswell (earth-616),secret identity,good characters,,no hair,male characters,deceased characters,4.0,feb-03,2003.0
john aman (earth-616),secret identity,good characters,blue eyes,bald,male characters,deceased characters,35.0,oct-07,2007.0
miss diaz (earth-616),secret identity,bad characters,brown eyes,brown hair,female characters,living characters,2.0,feb-07,2007.0
sangre (children of the vault) (earth-616),secret identity,bad characters,,bald,male characters,living characters,5.0,sep-06,2006.0
hack (mutant) (earth-616),,good characters,,black hair,male characters,living characters,8.0,aug-04,2004.0
kingmaker (wallace) (earth-616),secret identity,bad characters,brown eyes,black hair,male characters,living characters,4.0,jul-05,2005.0
maria castle (earth-616),,neutral characters,brown eyes,blond hair,female characters,deceased characters,17.0,aug-75,1975.0
killer casey (earth-616),secret identity,bad characters,,bald,male characters,living characters,2.0,jun-41,1941.0
matilda (nowhere) (earth-616),secret identity,bad characters,,grey hair,female characters,living characters,1.0,aug-42,1942.0
rigo zapata (earth-616),,bad characters,brown eyes,,male characters,living characters,9.0,apr-09,2009.0
torran (earth-616),public identity,good characters,blue eyes,bald,male characters,living characters,4.0,sep-11,2011.0
phil fox (earth-616),,good characters,,,male characters,living characters,11.0,dec-72,1972.0
peter parker (guardian) (earth-616),secret identity,bad characters,hazel eyes,brown hair,male characters,deceased characters,3.0,mar-95,1995.0
punchy (earth-616),,,,blond hair,male characters,living characters,1.0,oct-64,1964.0
pinky fusser (earth-616),,,grey eyes,black hair,male characters,living characters,1.0,sep-80,1980.0
john watkins jr. (earth-616),secret identity,good characters,,blond hair,male characters,deceased characters,2.0,mar-02,2002.0
mary wilson (earth-616),no dual identity,good characters,,black hair,female characters,living characters,3.0,dec-53,1953.0
paul domenic (earth-616),secret identity,,,,male characters,living characters,2.0,dec-85,1985.0
randall crowne (earth-616),public identity,bad characters,brown eyes,brown hair,male characters,living characters,11.0,apr-08,2008.0
william talltrees (earth-616),secret identity,good characters,brown eyes,black hair,male characters,living characters,34.0,sep-70,1970.0
frankie kollins (earth-616),public identity,,,,male characters,living characters,2.0,jul-08,2008.0
darnak (earth-616),,,,white hair,male characters,living characters,2.0,feb-77,1977.0
sentinel a (earth-616),secret identity,bad characters,,,,deceased characters,1.0,dec-65,1965.0
heather glenn (earth-616),no dual identity,good characters,blue eyes,black hair,female characters,deceased characters,62.0,oct-75,1975.0
rojas (earth-616),no dual identity,,,black hair,female characters,deceased characters,3.0,feb-04,2004.0
philip watson (earth-616),,,,,male characters,living characters,9.0,dec-84,1984.0
ignatz goldman (earth-616),public identity,bad characters,,white hair,male characters,living characters,1.0,feb-77,1977.0
lily cromwell (earth-616),secret identity,bad characters,blue eyes,blond hair,female characters,living characters,6.0,dec-98,1998.0
carina walters (earth-616),secret identity,good characters,blue eyes,blond hair,female characters,living characters,15.0,jan-78,1978.0
hank (earth-616),public identity,neutral characters,,blond hair,male characters,living characters,1.0,jan-88,1988.0
"phillip cussler, jr. (earth-616)",public identity,,blue eyes,black hair,male characters,living characters,2.0,aug-94,1994.0
rupert helona (earth-616),secret identity,bad characters,,,male characters,living characters,11.0,dec-92,1992.0
robert diamond (earth-616),no dual identity,good characters,blue eyes,blond hair,male characters,living characters,58.0,apr-74,1974.0
laynia petrovna (earth-616),secret identity,good characters,brown eyes,blond hair,female characters,living characters,84.0,aug-76,1976.0
jeff turner (earth-616),no dual identity,good characters,,,male characters,living characters,10.0,aug-75,1975.0
sponge (earth-616),secret identity,neutral characters,,black hair,female characters,living characters,3.0,mar-93,1993.0
infant terrible (earth-616),,neutral characters,green eyes,no hair,male characters,living characters,8.0,mar-64,1964.0
gothog (earth-616),no dual identity,,,no hair,male characters,living characters,1.0,nov-85,1985.0
richard deacon (earth-616),secret identity,neutral characters,red eyes,brown hair,male characters,living characters,34.0,nov-76,1976.0
"annie (noh-varr, construct) (earth-616)",secret identity,good characters,brown eyes,black hair,female characters,living characters,4.0,,
geatar (earth-616),,bad characters,orange eyes,no hair,male characters,living characters,20.0,jun-90,1990.0
caleb walker (earth-616),public identity,good characters,,,male characters,living characters,4.0,sep-88,1988.0
sack (earth-616),secret identity,bad characters,,no hair,male characters,deceased characters,15.0,aug-95,1995.0
john walker (earth-616),secret identity,good characters,blue eyes,blond hair,male characters,living characters,346.0,nov-86,1986.0
charles moss (earth-616),secret identity,good characters,blue eyes,brown hair,male characters,living characters,12.0,sep-02,2002.0
zahnmorder (earth-616),secret identity,bad characters,brown eyes,bald,male characters,deceased characters,4.0,sep-91,1991.0
george hill (earth-616),,bad characters,,black hair,male characters,living characters,3.0,mar-83,1983.0
harriet munroe (earth-616),,good characters,brown eyes,grey hair,female characters,living characters,4.0,jul-06,2006.0
jan (earth-616),,,black eyes,brown hair,female characters,living characters,1.0,jul-81,1981.0
stan lee (earth-616),no dual identity,good characters,brown eyes,black hair,male characters,living characters,54.0,jan-63,1963.0
bella blaire (earth-616),no dual identity,neutral characters,blue eyes,grey hair,female characters,living characters,12.0,mar-81,1981.0
dr. burke (earth-616),public identity,,black eyes,red hair,female characters,living characters,2.0,jan-08,2008.0
valeria (fifth dimension) (earth-616),,good characters,,black hair,female characters,living characters,6.0,dec-62,1962.0
turoq (earth-616),,good characters,,,male characters,living characters,7.0,feb-84,1984.0
tammuz (earth-616),,,,,male characters,living characters,2.0,sep-73,1973.0
madcap (earth-616),secret identity,neutral characters,blue eyes,brown hair,male characters,living characters,36.0,jul-85,1985.0
sayge (earth-616),,neutral characters,,,,living characters,16.0,mar-67,1967.0
porky (earth-616),,,,brown hair,male characters,living characters,2.0,apr-64,1964.0
erich eisenhardt (earth-616),,good characters,blue eyes,black hair,male characters,deceased characters,3.0,nov-08,2008.0
christina carr (earth-616),secret identity,bad characters,blue eyes,black hair,female characters,living characters,2.0,sep-99,1999.0
stefan of symkaria (earth-616),public identity,good characters,brown eyes,black hair,male characters,living characters,2.0,may-94,1994.0
dorothy alleyne (earth-616),secret identity,good characters,brown eyes,brown hair,female characters,living characters,2.0,oct-03,2003.0
kogar (earth-616),secret identity,bad characters,brown eyes,black hair,male characters,living characters,4.0,jul-78,1978.0
anton devine (earth-616),,,,,male characters,living characters,2.0,apr-94,1994.0
sporr (amoeba mutate) (earth-616),public identity,neutral characters,,no hair,,living characters,2.0,sep-60,1960.0
harold harold (earth-616),no dual identity,,brown eyes,brown hair,male characters,deceased characters,36.0,oct-75,1975.0
carolina washington (earth-616),public identity,bad characters,,black hair,female characters,living characters,6.0,dec-11,2011.0
kevin tremain (earth-616),secret identity,bad characters,red eyes,black hair,male characters,deceased characters,18.0,mar-96,1996.0
geirrodur (earth-616),secret identity,bad characters,brown eyes,brown hair,male characters,living characters,31.0,feb-64,1964.0
william taurey (earth-616),no dual identity,bad characters,,grey hair,male characters,living characters,6.0,feb-76,1976.0
hercules (empowered marvel boy) (earth-616),secret identity,good characters,,,male characters,living characters,1.0,mar-43,1943.0
ellie phimister (earth-616),secret identity,neutral characters,black eyes,black hair,female characters,deceased characters,14.0,aug-01,2001.0
soapbox (earth-616),,good characters,blue eyes,blond hair,male characters,living characters,5.0,may-11,2011.0
choo-choo charley (earth-616),secret identity,bad characters,,black hair,male characters,living characters,1.0,jun-44,1944.0
jesse johns (earth-616),public identity,,green eyes,black hair,male characters,living characters,2.0,sep-84,1984.0
baxu (earth-616),no dual identity,,,red hair,male characters,deceased characters,1.0,jul-63,1963.0
taj nital (earth-616),no dual identity,good characters,red eyes,black hair,male characters,living characters,25.0,jul-72,1972.0
mutaurus (earth-616),public identity,bad characters,red eyes,,male characters,deceased characters,3.0,aug-67,1967.0
scatter (lilin) (earth-616),secret identity,bad characters,,red hair,male characters,living characters,2.0,dec-93,1993.0
rodney adams (earth-616),public identity,neutral characters,,blond hair,male characters,living characters,1.0,mar-46,1946.0
ellie roberts (earth-616),,,,,female characters,living characters,14.0,apr-72,1972.0
adri nital (earth-616),no dual identity,bad characters,red eyes,black hair,male characters,deceased characters,7.0,jan-75,1975.0
tandy snow (earth-616),,good characters,,black hair,female characters,living characters,4.0,feb-76,1976.0
birdbeast (earth-616),no dual identity,bad characters,,no hair,,living characters,1.0,mar-90,1990.0
yagzan (earth-616),secret identity,bad characters,black eyes,no hair,male characters,living characters,18.0,aug-74,1974.0
jebediah fate (earth-616),secret identity,,variable eyes,variable hair,male characters,living characters,11.0,jan-75,1975.0
dionysus (eternal) (earth-616),,bad characters,,brown hair,male characters,living characters,3.0,jan-79,1979.0
duvid fortunov (earth-616),public identity,good characters,blue eyes,brown hair,male characters,living characters,57.0,aug-75,1975.0
sara krowler (earth-616),,bad characters,,brown hair,female characters,deceased characters,2.0,aug-89,1989.0
conrad turing (earth-616),secret identity,bad characters,brown eyes,brown hair,male characters,living characters,2.0,,
tom fagan (earth-616),public identity,good characters,,blond hair,male characters,living characters,6.0,dec-70,1970.0
lo-zar (earth-616),,good characters,,blond hair,male characters,living characters,6.0,oct-54,1954.0
amanda fairmont (earth-616),no dual identity,good characters,brown eyes,brown hair,female characters,living characters,14.0,jul-98,1998.0
ben vincent (earth-616),no dual identity,,,black hair,male characters,living characters,3.0,jul-74,1974.0
mosha (earth-616),secret identity,good characters,brown eyes,black hair,female characters,living characters,7.0,dec-99,1999.0
pom pom (earth-616),public identity,good characters,black eyes,black hair,female characters,living characters,4.0,,
father mcfarland (earth-616),,good characters,,,male characters,deceased characters,1.0,apr-80,1980.0
jennifer leigh (earth-616),no dual identity,neutral characters,blue eyes,blond hair,female characters,living characters,7.0,mar-04,2004.0
gabby harris (earth-616),,bad characters,,black hair,male characters,living characters,1.0,apr-40,1940.0
bekka wallis (earth-616),no dual identity,good characters,,black hair,female characters,deceased characters,2.0,jan-06,2006.0
samuel clemens (robot) (earth-616),public identity,,brown eyes,white hair,male characters,living characters,1.0,may-83,1983.0
s.h.i.v.a. (earth-616),,,red eyes,no hair,,living characters,7.0,jan-92,1992.0
joshua link (earth-616),secret identity,bad characters,blue eyes,white hair,male characters,deceased characters,15.0,jan-70,1970.0
allen rosnim (earth-616),public identity,bad characters,,brown hair,male characters,living characters,1.0,dec-45,1945.0
warden jzemlico (earth-616),,good characters,,,male characters,living characters,4.0,jun-93,1993.0
edward tancredi (earth-616),secret identity,good characters,green eyes,red hair,male characters,deceased characters,9.0,sep-04,2004.0
gregory smith (earth-616),secret identity,bad characters,,white hair,male characters,deceased characters,1.0,jan-45,1945.0
oliver broadhurst (earth-616),public identity,good characters,,bald,male characters,living characters,3.0,jul-77,1977.0
k\u0101ne milohai (earth-616),,,black eyes,white hair,male characters,living characters,1.0,oct-80,1980.0
gloria angel (earth-616),secret identity,good characters,blue eyes,grey hair,female characters,living characters,13.0,sep-91,1991.0
rootar (earth-616),public identity,,,no hair,male characters,living characters,7.0,mar-95,1995.0
pyron (earth-616),secret identity,bad characters,,,male characters,living characters,1.0,apr-81,1981.0
doctor herzog (earth-616),public identity,bad characters,,black hair,male characters,deceased characters,1.0,mar-45,1945.0
shogo lee (earth-616),no dual identity,neutral characters,brown eyes,black hair,male characters,living characters,19.0,,
montenegro (earth-616),,bad characters,brown eyes,red hair,male characters,living characters,2.0,jul-81,1981.0
jat vor-thrul (earth-616),secret identity,good characters,blue eyes,bald,male characters,living characters,13.0,mar-09,2009.0
cary grant (earth-616),,neutral characters,brown eyes,brown hair,male characters,living characters,1.0,nov-83,1983.0
derek petrie (earth-616),secret identity,bad characters,,,male characters,living characters,2.0,nov-07,2007.0
antaeus (earth-616),no dual identity,bad characters,,brown hair,male characters,living characters,2.0,jun-45,1945.0
albert rackham (earth-616),no dual identity,bad characters,brown eyes,black hair,male characters,deceased characters,14.0,jun-72,1972.0
anky (earth-616),no dual identity,bad characters,,no hair,male characters,living characters,3.0,apr-93,1993.0
biotron ii (earth-616),no dual identity,good characters,,,,living characters,17.0,may-84,1984.0
korr (ant) (earth-616),,good characters,,,,deceased characters,1.0,sep-63,1963.0
lee bradford (earth-616),public identity,good characters,,,male characters,living characters,1.0,mar-43,1943.0
ralph caccone (earth-616),public identity,good characters,,,female characters,living characters,8.0,nov-74,1974.0
mister mayhem (earth-616),secret identity,bad characters,,,male characters,living characters,1.0,aug-82,1982.0
stephen beckley (earth-616),public identity,good characters,blue eyes,brown hair,male characters,living characters,19.0,feb-87,1987.0
manchuria mary (earth-616),public identity,bad characters,,black hair,female characters,deceased characters,5.0,feb-53,1953.0
heath benson (earth-616),secret identity,bad characters,,,male characters,living characters,2.0,dec-63,1963.0
flea-market eating flea (earth-616),secret identity,bad characters,black eyes,no hair,male characters,living characters,1.0,jan-82,1982.0
federico valencia (earth-616),,bad characters,,brown hair,male characters,living characters,4.0,jun-02,2002.0
ernst sablinova (earth-616),secret identity,good characters,blue eyes,silver hair,male characters,living characters,17.0,jun-92,1992.0
spinnerette (earth-616),,neutral characters,blue eyes,,female characters,living characters,1.0,dec-81,1981.0
carl hanson (earth-616),secret identity,good characters,,,male characters,living characters,5.0,nov-60,1960.0
virago (earth-616),,bad characters,orange eyes,green hair,female characters,living characters,4.0,aug-73,1973.0
elaine banner (earth-616),,,brown eyes,blond hair,female characters,deceased characters,3.0,apr-81,1981.0
zero (kurakill) (earth-616),,good characters,,,male characters,living characters,1.0,oct-75,1975.0
marie-ange colbert (earth-616),secret identity,neutral characters,green eyes,red hair,female characters,deceased characters,38.0,jun-84,1984.0
fiona rivera (earth-616),secret identity,good characters,blue eyes,brown hair,female characters,living characters,4.0,jan-95,1995.0
purge (the arena) (earth-616),secret identity,bad characters,,,male characters,living characters,2.0,feb-04,2004.0
brunnhilde (earth-616),secret identity,good characters,blue eyes,blond hair,female characters,living characters,361.0,dec-70,1970.0
hydra queen (grace) (earth-616),,bad characters,green eyes,brown hair,female characters,living characters,10.0,oct-11,2011.0
quantum mechanic (earth-616),secret identity,bad characters,,,male characters,living characters,1.0,nov-89,1989.0
barth bukowski (earth-616),,good characters,,blond hair,male characters,living characters,3.0,apr-79,1979.0
emory simpson (earth-616),public identity,good characters,,black hair,male characters,living characters,2.0,may-72,1972.0
dark (soldiers of misfortune) (earth-616),,,,,female characters,living characters,5.0,dec-94,1994.0
knobby (earth-616),,good characters,,,,living characters,4.0,dec-42,1942.0
tim sullivan (earth-616),secret identity,bad characters,,blond hair,male characters,living characters,4.0,jan-03,2003.0
ixar (earth-616),secret identity,bad characters,blue eyes,white hair,male characters,living characters,6.0,jan-67,1967.0
grimgerda (earth-616),,neutral characters,,blond hair,female characters,living characters,1.0,oct-66,1966.0
gunther bain (earth-616),secret identity,bad characters,blue eyes,black hair,male characters,deceased characters,51.0,nov-64,1964.0
gullveig (earth-616),secret identity,good characters,blue eyes,blond hair,female characters,living characters,4.0,oct-12,2012.0
fredrich roth (earth-616),public identity,bad characters,,bald,male characters,deceased characters,1.0,sep-40,1940.0
ghost rider (native american) (earth-616),secret identity,,red eyes,no hair,male characters,living characters,2.0,may-09,2009.0
arthur shaman (earth-616),,bad characters,,black hair,male characters,living characters,1.0,mar-78,1978.0
firestryke (earth-616),secret identity,bad characters,,black hair,female characters,living characters,4.0,oct-93,1993.0
eric ward (earth-616),public identity,bad characters,,brown hair,male characters,living characters,1.0,mar-43,1943.0
brightwind (earth-616),,,red eyes,black hair,male characters,living characters,44.0,,
porous (earth-616),secret identity,bad characters,,,male characters,living characters,4.0,jan-03,2003.0
colonel zinzer (earth-616),public identity,bad characters,,brown hair,male characters,deceased characters,1.0,oct-42,1942.0
gert hauptmann (earth-616),,,,,male characters,deceased characters,7.0,jul-78,1978.0
drayson (earth-616),no dual identity,neutral characters,,,female characters,living characters,2.0,dec-39,1939.0
robot delta (earth-616),secret identity,,,,,deceased characters,2.0,jun-66,1966.0
tokkots (earth-616),,bad characters,,,male characters,living characters,8.0,feb-99,1999.0
parul kurinji (earth-616),secret identity,bad characters,,black hair,female characters,living characters,13.0,nov-10,2010.0
grover raymond (earth-616),secret identity,bad characters,brown eyes,black hair,male characters,deceased characters,10.0,feb-74,1974.0
martha paterson (earth-616),secret identity,bad characters,blue eyes,,female characters,living characters,5.0,oct-95,1995.0
torpedo turner (earth-616),secret identity,bad characters,,brown hair,male characters,deceased characters,1.0,jun-48,1948.0
catherine saint (earth-616),,bad characters,,,female characters,deceased characters,2.0,oct-73,1973.0
oscar (earth-616),no dual identity,bad characters,brown eyes,brown hair,male characters,deceased characters,2.0,jul-03,2003.0
crawling creature (earth-616),secret identity,bad characters,,,,living characters,1.0,aug-61,1961.0
obb (earth-616),no dual identity,neutral characters,white eyes,no hair,male characters,living characters,3.0,apr-11,2011.0
thomas sorenson (earth-616),secret identity,bad characters,blue eyes,blond hair,male characters,living characters,16.0,oct-90,1990.0
revanche (kwannon) (earth-616),secret identity,good characters,blue eyes,black hair,female characters,deceased characters,26.0,dec-89,1989.0
stampede (earth-616),secret identity,bad characters,,blond hair,female characters,living characters,2.0,jun-95,1995.0
arthur barrington (earth-616),no dual identity,good characters,,grey hair,male characters,deceased characters,2.0,mar-92,1992.0
simon walterson (earth-616),secret identity,good characters,,no hair,male characters,living characters,20.0,feb-86,1986.0
billy wheeler (earth-616),,,black eyes,black hair,male characters,living characters,1.0,aug-87,1987.0
6r (earth-616),,bad characters,,,,deceased characters,1.0,jul-69,1969.0
iron brain (earth-616),secret identity,bad characters,,grey hair,male characters,deceased characters,1.0,feb-49,1949.0
jamil (earth-616),secret identity,bad characters,black eyes,black hair,male characters,deceased characters,5.0,dec-94,1994.0
phaedra (marvel uk) (earth-616),,,,,female characters,living characters,3.0,mar-92,1992.0
straw man (earth-616),secret identity,good characters,red eyes,yellow hair,male characters,living characters,12.0,aug-75,1975.0
ben gallagher (earth-616),secret identity,good characters,,brown hair,male characters,deceased characters,11.0,,
margaret voelker,,,,,female characters,living characters,1.0,nov-90,1990.0
joel drake (earth-616),secret identity,,brown eyes,brown hair,male characters,living characters,2.0,dec-84,1984.0
sir hogg (earth-616),secret identity,good characters,,,male characters,living characters,1.0,jun-78,1978.0
headhunter (mutant) (earth-616),secret identity,bad characters,red eyes,red hair,female characters,living characters,11.0,may-90,1990.0
man in the steel mask (earth-616),secret identity,bad characters,,bald,male characters,living characters,1.0,feb-44,1944.0
charles shaddock (earth-616),no dual identity,bad characters,,black hair,male characters,living characters,6.0,nov-92,1992.0
boris (latverian) (earth-616),no dual identity,neutral characters,,grey hair,male characters,living characters,15.0,sep-64,1964.0
fred davis jr. (earth-616),secret identity,good characters,blue eyes,white hair,male characters,deceased characters,81.0,aug-45,1945.0
jordan dixon (earth-616),public identity,bad characters,,,male characters,deceased characters,11.0,jan-73,1973.0
amanda batavides (earth-616),,good characters,,blond hair,female characters,living characters,20.0,mar-86,1986.0
gullywhump (earth-616),,good characters,,no hair,,living characters,3.0,feb-86,1986.0
dwight stanford (earth-616),public identity,,,red hair,male characters,living characters,1.0,mar-79,1979.0
lockheed (earth-616),secret identity,good characters,,no hair,male characters,living characters,260.0,feb-83,1983.0
frank jenks (earth-616),,good characters,,,male characters,living characters,2.0,jan-73,1973.0
lonnie shakespeare (earth-616),public identity,,,black hair,male characters,living characters,3.0,aug-04,2004.0
gerry lequarre (earth-616),,,,,male characters,living characters,11.0,jan-97,1997.0
lynne harris (earth-616),public identity,good characters,blue eyes,blond hair,female characters,living characters,11.0,aug-40,1940.0
tinta (earth-616),,good characters,,,,living characters,2.0,oct-78,1978.0
gyre (twisted sisters) (earth-616),,bad characters,,,female characters,living characters,3.0,may-99,1999.0
sala\u1e25 ad-din yusuf ibn ayyub (earth-616),public identity,neutral characters,,black hair,male characters,deceased characters,3.0,jan-49,1949.0
cyclops (lobe) (earth-616),secret identity,neutral characters,,black hair,male characters,living characters,5.0,jan-11,2011.0
zuni (earth-616),no dual identity,good characters,,black hair,female characters,living characters,1.0,mar-78,1978.0
ballistik (earth-616),,bad characters,,red hair,female characters,living characters,2.0,dec-93,1993.0
pearl of pyongyang (earth-616),secret identity,bad characters,,black hair,female characters,living characters,2.0,dec-52,1952.0
gloria garsen (earth-616),public identity,good characters,,blond hair,female characters,living characters,4.0,dec-88,1988.0
bitmap (earth-616),secret identity,bad characters,,no hair,male characters,living characters,7.0,mar-94,1994.0
phae-dor (earth-616),public identity,,,blue hair,male characters,living characters,7.0,feb-76,1976.0
khalid inshallah (earth-616),public identity,good characters,,grey hair,male characters,living characters,2.0,jul-89,1989.0
els udonta (earth-616),secret identity,good characters,blue eyes,no hair,female characters,living characters,7.0,jun-10,2010.0
andrei gorlovich (earth-616),,bad characters,,,male characters,deceased characters,3.0,jun-06,2006.0
rocco castiglione (earth-616),public identity,neutral characters,blue eyes,white hair,male characters,living characters,1.0,dec-90,1990.0
peggy rae (earth-616),public identity,neutral characters,,blond hair,female characters,living characters,7.0,oct-05,2005.0
jack the ripper (earth-616),secret identity,bad characters,brown eyes,brown hair,male characters,deceased characters,12.0,mar-45,1945.0
el caiman (earth-616),secret identity,bad characters,,grey hair,male characters,deceased characters,1.0,aug-88,1988.0
impala (earth-616),secret identity,,brown eyes,bald,female characters,living characters,9.0,jul-91,1991.0
arkin (earth-616),,bad characters,,black hair,male characters,living characters,2.0,oct-64,1964.0
anton vanko (crimson dynamo) (earth-616),secret identity,good characters,brown eyes,bald,male characters,deceased characters,13.0,oct-63,1963.0
roman nekoboh (earth-616),public identity,neutral characters,,bald,male characters,living characters,7.0,nov-83,1983.0
one above all (earth-616),secret identity,neutral characters,,no hair,male characters,living characters,21.0,jan-77,1977.0
jesse metuchen (earth-616),secret identity,good characters,brown eyes,brown hair,male characters,living characters,3.0,nov-02,2002.0
elisabeth wilford (earth-616),public identity,good characters,,auburn hair,female characters,living characters,6.0,apr-76,1976.0
ashley martin (earth-616),no dual identity,,,blond hair,female characters,living characters,9.0,aug-00,2000.0
franklin neal (earth-616),public identity,neutral characters,,,male characters,living characters,1.0,apr-80,1980.0
john anderson (earth-616),public identity,good characters,brown eyes,blond hair,male characters,living characters,14.0,sep-03,2003.0
mon-tog (earth-616),public identity,,,black hair,male characters,living characters,1.0,apr-77,1977.0
edward cross (earth-616),public identity,bad characters,blue eyes,bald,male characters,living characters,3.0,nov-89,1989.0
andromeda (pantheon) (earth-616),secret identity,good characters,blue eyes,blond hair,female characters,living characters,2.0,dec-93,1993.0
patsy dragonsworth (earth-616),no dual identity,,,black hair,female characters,deceased characters,2.0,nov-76,1976.0
joyride (earth-616),,bad characters,,,male characters,living characters,1.0,aug-90,1990.0
endgame (legion personality) (earth-616),secret identity,bad characters,,,,living characters,3.0,jul-11,2011.0
ikthalon (earth-616),secret identity,bad characters,,no hair,male characters,living characters,4.0,mar-74,1974.0
doris jacquet (earth-616),,good characters,green eyes,brown hair,female characters,living characters,9.0,jan-94,1994.0
barbara degioia (earth-616),secret identity,good characters,brown eyes,black hair,female characters,living characters,4.0,jan-95,1995.0
mister million (earth-616),secret identity,good characters,,blond hair,male characters,living characters,1.0,apr-41,1941.0
piper (morlock) (earth-616),secret identity,neutral characters,blue eyes,grey hair,male characters,deceased characters,9.0,jun-85,1985.0
j. vernon mann (earth-616),public identity,good characters,,black hair,male characters,living characters,4.0,oct-99,1999.0
ika (earth-616),,good characters,,,female characters,living characters,10.0,jul-83,1983.0
noble kale (earth-616),secret identity,good characters,,no hair,male characters,living characters,13.0,may-90,1990.0
jemail karami (earth-616),,bad characters,,,male characters,living characters,5.0,apr-85,1985.0
nykonn (earth-616),,bad characters,,,,living characters,18.0,jun-77,1977.0
ocar (earth-616),public identity,good characters,,white hair,male characters,living characters,1.0,jun-73,1973.0
matt coris (earth-616),secret identity,,,,male characters,deceased characters,2.0,dec-89,1989.0
elihas starr (earth-616),public identity,bad characters,blue eyes,bald,male characters,deceased characters,45.0,dec-62,1962.0
rich van burian (earth-616),public identity,bad characters,blue eyes,blond hair,male characters,deceased characters,7.0,mar-89,1989.0
ava peloso (earth-616),secret identity,,,brown hair,female characters,living characters,3.0,may-94,1994.0
cyanide (earth-616),secret identity,neutral characters,yellow eyes,bald,male characters,living characters,2.0,feb-93,1993.0
think tank (earth-616),secret identity,good characters,,,male characters,living characters,4.0,jun-08,2008.0
ace turmbull (earth-616),secret identity,bad characters,,grey hair,male characters,deceased characters,1.0,oct-48,1948.0
alonzo gonzales (earth-616),public identity,bad characters,,black hair,male characters,living characters,1.0,mar-45,1945.0
gerald ford (earth-616),public identity,,,,male characters,living characters,9.0,mar-75,1975.0
randall jessup (earth-616),public identity,neutral characters,brown eyes,blond hair,male characters,living characters,15.0,mar-13,2013.0
archibald hunt (earth-616),no dual identity,bad characters,brown eyes,grey hair,male characters,living characters,5.0,jan-06,2006.0
white man (earth-616),secret identity,bad characters,blue eyes,blond hair,male characters,living characters,2.0,,
jolen (earth-616),secret identity,bad characters,white eyes,brown hair,male characters,living characters,17.0,aug-03,2003.0
"john jonah jameson, sr. (earth-616)",no dual identity,good characters,brown eyes,white hair,male characters,living characters,51.0,jan-09,2009.0
druig (earth-616),secret identity,,brown eyes,brown hair,male characters,living characters,31.0,may-77,1977.0
william perry (earth-616),no dual identity,good characters,,,male characters,living characters,1.0,sep-87,1987.0
jacob wallaby (earth-616),,,,,male characters,living characters,2.0,jan-78,1978.0
neut (earth-616),secret identity,bad characters,,,male characters,living characters,6.0,oct-95,1995.0
lord samedar (earth-616),public identity,good characters,white eyes,,male characters,living characters,4.0,feb-82,1982.0
