name,id,align,eye,hair,sex,alive,appearances,timeline
harriet munroe (earth-616),not-available,good characters,brown eyes,grey hair,female characters,living characters,4.0,2006-07-01
jan (earth-616),not-available,not-available,black eyes,brown hair,female characters,living characters,1.0,1981-07-01
stan lee (earth-616),no dual identity,good characters,brown eyes,black hair,male characters,living characters,54.0,1963-01-01
bella blaire (earth-616),no dual identity,neutral characters,blue eyes,grey hair,female characters,living characters,12.0,1981-03-01
dr. burke (earth-616),public identity,not-available,black eyes,red hair,female characters,living characters,2.0,2008-01-01
valeria (fifth dimension) (earth-616),not-available,good characters,not-available,black hair,female characters,living characters,6.0,1962-12-01
turoq (earth-616),not-available,good characters,not-available,not-available,male characters,living characters,7.0,1984-02-01
tammuz (earth-616),not-available,not-available,not-available,not-available,male characters,living characters,2.0,1973-09-01
madcap (earth-616),secret identity,neutral characters,blue eyes,brown hair,male characters,living characters,36.0,1985-07-01
sayge (earth-616),not-available,neutral characters,not-available,not-available,not-available,living characters,16.0,1967-03-01
porky (earth-616),not-available,not-available,not-available,brown hair,male characters,living characters,2.0,1964-04-01
erich eisenhardt (earth-616),not-available,good characters,blue eyes,black hair,male characters,deceased characters,3.0,2008-11-01
christina carr (earth-616),secret identity,bad characters,blue eyes,black hair,female characters,living characters,2.0,1999-09-01
stefan of symkaria (earth-616),public identity,good characters,brown eyes,black hair,male characters,living characters,2.0,1994-05-01
dorothy alleyne (earth-616),secret identity,good characters,brown eyes,brown hair,female characters,living characters,2.0,2003-10-01
kogar (earth-616),secret identity,bad characters,brown eyes,black hair,male characters,living characters,4.0,1978-07-01
anton devine (earth-616),not-available,not-available,not-available,not-available,male characters,living characters,2.0,1994-04-01
sporr (amoeba mutate) (earth-616),public identity,neutral characters,not-available,no hair,not-available,living characters,2.0,1960-09-01
harold harold (earth-616),no dual identity,not-available,brown eyes,brown hair,male characters,deceased characters,36.0,1975-10-01
carolina washington (earth-616),public identity,bad characters,not-available,black hair,female characters,living characters,6.0,2011-12-01
kevin tremain (earth-616),secret identity,bad characters,red eyes,black hair,male characters,deceased characters,18.0,1996-03-01
geirrodur (earth-616),secret identity,bad characters,brown eyes,brown hair,male characters,living characters,31.0,1964-02-01
william taurey (earth-616),no dual identity,bad characters,not-available,grey hair,male characters,living characters,6.0,1976-02-01
hercules (empowered marvel boy) (earth-616),secret identity,good characters,not-available,not-available,male characters,living characters,1.0,1943-03-01
ellie phimister (earth-616),secret identity,neutral characters,black eyes,black hair,female characters,deceased characters,14.0,2001-08-01
soapbox (earth-616),not-available,good characters,blue eyes,blond hair,male characters,living characters,5.0,2011-05-01
choo-choo charley (earth-616),secret identity,bad characters,not-available,black hair,male characters,living characters,1.0,1944-06-01
jesse johns (earth-616),public identity,not-available,green eyes,black hair,male characters,living characters,2.0,1984-09-01
baxu (earth-616),no dual identity,not-available,not-available,red hair,male characters,deceased characters,1.0,1963-07-01
taj nital (earth-616),no dual identity,good characters,red eyes,black hair,male characters,living characters,25.0,1972-07-01
mutaurus (earth-616),public identity,bad characters,red eyes,not-available,male characters,deceased characters,3.0,1967-08-01
scatter (lilin) (earth-616),secret identity,bad characters,not-available,red hair,male characters,living characters,2.0,1993-12-01
rodney adams (earth-616),public identity,neutral characters,not-available,blond hair,male characters,living characters,1.0,1946-03-01
ellie roberts (earth-616),not-available,not-available,not-available,not-available,female characters,living characters,14.0,1972-04-01
adri nital (earth-616),no dual identity,bad characters,red eyes,black hair,male characters,deceased characters,7.0,1975-01-01
tandy snow (earth-616),not-available,good characters,not-available,black hair,female characters,living characters,4.0,1976-02-01
birdbeast (earth-616),no dual identity,bad characters,not-available,no hair,not-available,living characters,1.0,1990-03-01
yagzan (earth-616),secret identity,bad characters,black eyes,no hair,male characters,living characters,18.0,1974-08-01
jebediah fate (earth-616),secret identity,not-available,variable eyes,variable hair,male characters,living characters,11.0,1975-01-01
dionysus (eternal) (earth-616),not-available,bad characters,not-available,brown hair,male characters,living characters,3.0,1979-01-01
duvid fortunov (earth-616),public identity,good characters,blue eyes,brown hair,male characters,living characters,57.0,1975-08-01
sara krowler (earth-616),not-available,bad characters,not-available,brown hair,female characters,deceased characters,2.0,1989-08-01
conrad turing (earth-616),secret identity,bad characters,brown eyes,brown hair,male characters,living characters,2.0,not-available
tom fagan (earth-616),public identity,good characters,not-available,blond hair,male characters,living characters,6.0,1970-12-01
lo-zar (earth-616),not-available,good characters,not-available,blond hair,male characters,living characters,6.0,1954-10-01
amanda fairmont (earth-616),no dual identity,good characters,brown eyes,brown hair,female characters,living characters,14.0,1998-07-01
ben vincent (earth-616),no dual identity,not-available,not-available,black hair,male characters,living characters,3.0,1974-07-01
mosha (earth-616),secret identity,good characters,brown eyes,black hair,female characters,living characters,7.0,1999-12-01
pom pom (earth-616),public identity,good characters,black eyes,black hair,female characters,living characters,4.0,not-available
father mcfarland (earth-616),not-available,good characters,not-available,not-available,male characters,deceased characters,1.0,1980-04-01
jennifer leigh (earth-616),no dual identity,neutral characters,blue eyes,blond hair,female characters,living characters,7.0,2004-03-01
gabby harris (earth-616),not-available,bad characters,not-available,black hair,male characters,living characters,1.0,1940-04-01
bekka wallis (earth-616),no dual identity,good characters,not-available,black hair,female characters,deceased characters,2.0,2006-01-01
samuel clemens (robot) (earth-616),public identity,not-available,brown eyes,white hair,male characters,living characters,1.0,1983-05-01
s.h.i.v.a. (earth-616),not-available,not-available,red eyes,no hair,not-available,living characters,7.0,1992-01-01
joshua link (earth-616),secret identity,bad characters,blue eyes,white hair,male characters,deceased characters,15.0,1970-01-01
allen rosnim (earth-616),public identity,bad characters,not-available,brown hair,male characters,living characters,1.0,1945-12-01
warden jzemlico (earth-616),not-available,good characters,not-available,not-available,male characters,living characters,4.0,1993-06-01
edward tancredi (earth-616),secret identity,good characters,green eyes,red hair,male characters,deceased characters,9.0,2004-09-01
gregory smith (earth-616),secret identity,bad characters,not-available,white hair,male characters,deceased characters,1.0,1945-01-01
oliver broadhurst (earth-616),public identity,good characters,not-available,bald,male characters,living characters,3.0,1977-07-01
k\u0101ne milohai (earth-616),not-available,not-available,black eyes,white hair,male characters,living characters,1.0,1980-10-01
gloria angel (earth-616),secret identity,good characters,blue eyes,grey hair,female characters,living characters,13.0,1991-09-01
rootar (earth-616),public identity,not-available,not-available,no hair,male characters,living characters,7.0,1995-03-01
pyron (earth-616),secret identity,bad characters,not-available,not-available,male characters,living characters,1.0,1981-04-01
doctor herzog (earth-616),public identity,bad characters,not-available,black hair,male characters,deceased characters,1.0,1945-03-01
shogo lee (earth-616),no dual identity,neutral characters,brown eyes,black hair,male characters,living characters,19.0,not-available
montenegro (earth-616),not-available,bad characters,brown eyes,red hair,male characters,living characters,2.0,1981-07-01
jat vor-thrul (earth-616),secret identity,good characters,blue eyes,bald,male characters,living characters,13.0,2009-03-01
cary grant (earth-616),not-available,neutral characters,brown eyes,brown hair,male characters,living characters,1.0,1983-11-01
derek petrie (earth-616),secret identity,bad characters,not-available,not-available,male characters,living characters,2.0,2007-11-01
antaeus (earth-616),no dual identity,bad characters,not-available,brown hair,male characters,living characters,2.0,1945-06-01
albert rackham (earth-616),no dual identity,bad characters,brown eyes,black hair,male characters,deceased characters,14.0,1972-06-01
anky (earth-616),no dual identity,bad characters,not-available,no hair,male characters,living characters,3.0,1993-04-01
biotron ii (earth-616),no dual identity,good characters,not-available,not-available,not-available,living characters,17.0,1984-05-01
korr (ant) (earth-616),not-available,good characters,not-available,not-available,not-available,deceased characters,1.0,1963-09-01
lee bradford (earth-616),public identity,good characters,not-available,not-available,male characters,living characters,1.0,1943-03-01
ralph caccone (earth-616),public identity,good characters,not-available,not-available,female characters,living characters,8.0,1974-11-01
mister mayhem (earth-616),secret identity,bad characters,not-available,not-available,male characters,living characters,1.0,1982-08-01
stephen beckley (earth-616),public identity,good characters,blue eyes,brown hair,male characters,living characters,19.0,1987-02-01
manchuria mary (earth-616),public identity,bad characters,not-available,black hair,female characters,deceased characters,5.0,1953-02-01
heath benson (earth-616),secret identity,bad characters,not-available,not-available,male characters,living characters,2.0,1963-12-01
flea-market eating flea (earth-616),secret identity,bad characters,black eyes,no hair,male characters,living characters,1.0,1982-01-01
federico valencia (earth-616),not-available,bad characters,not-available,brown hair,male characters,living characters,4.0,2002-06-01
ernst sablinova (earth-616),secret identity,good characters,blue eyes,silver hair,male characters,living characters,17.0,1992-06-01
spinnerette (earth-616),not-available,neutral characters,blue eyes,not-available,female characters,living characters,1.0,1981-12-01
carl hanson (earth-616),secret identity,good characters,not-available,not-available,male characters,living characters,5.0,1960-11-01
virago (earth-616),not-available,bad characters,orange eyes,green hair,female characters,living characters,4.0,1973-08-01
elaine banner (earth-616),not-available,not-available,brown eyes,blond hair,female characters,deceased characters,3.0,1981-04-01
zero (kurakill) (earth-616),not-available,good characters,not-available,not-available,male characters,living characters,1.0,1975-10-01
marie-ange colbert (earth-616),secret identity,neutral characters,green eyes,red hair,female characters,deceased characters,38.0,1984-06-01
fiona rivera (earth-616),secret identity,good characters,blue eyes,brown hair,female characters,living characters,4.0,1995-01-01
purge (the arena) (earth-616),secret identity,bad characters,not-available,not-available,male characters,living characters,2.0,2004-02-01
brunnhilde (earth-616),secret identity,good characters,blue eyes,blond hair,female characters,living characters,361.0,1970-12-01
hydra queen (grace) (earth-616),not-available,bad characters,green eyes,brown hair,female characters,living characters,10.0,2011-10-01
quantum mechanic (earth-616),secret identity,bad characters,not-available,not-available,male characters,living characters,1.0,1989-11-01
barth bukowski (earth-616),not-available,good characters,not-available,blond hair,male characters,living characters,3.0,1979-04-01
emory simpson (earth-616),public identity,good characters,not-available,black hair,male characters,living characters,2.0,1972-05-01
dark (soldiers of misfortune) (earth-616),not-available,not-available,not-available,not-available,female characters,living characters,5.0,1994-12-01
knobby (earth-616),not-available,good characters,not-available,not-available,not-available,living characters,4.0,1942-12-01
tim sullivan (earth-616),secret identity,bad characters,not-available,blond hair,male characters,living characters,4.0,2003-01-01
ixar (earth-616),secret identity,bad characters,blue eyes,white hair,male characters,living characters,6.0,1967-01-01
grimgerda (earth-616),not-available,neutral characters,not-available,blond hair,female characters,living characters,1.0,1966-10-01
gunther bain (earth-616),secret identity,bad characters,blue eyes,black hair,male characters,deceased characters,51.0,1964-11-01
gullveig (earth-616),secret identity,good characters,blue eyes,blond hair,female characters,living characters,4.0,2012-10-01
fredrich roth (earth-616),public identity,bad characters,not-available,bald,male characters,deceased characters,1.0,1940-09-01
ghost rider (native american) (earth-616),secret identity,not-available,red eyes,no hair,male characters,living characters,2.0,2009-05-01
arthur shaman (earth-616),not-available,bad characters,not-available,black hair,male characters,living characters,1.0,1978-03-01
firestryke (earth-616),secret identity,bad characters,not-available,black hair,female characters,living characters,4.0,1993-10-01
eric ward (earth-616),public identity,bad characters,not-available,brown hair,male characters,living characters,1.0,1943-03-01
brightwind (earth-616),not-available,not-available,red eyes,black hair,male characters,living characters,44.0,not-available
porous (earth-616),secret identity,bad characters,not-available,not-available,male characters,living characters,4.0,2003-01-01
colonel zinzer (earth-616),public identity,bad characters,not-available,brown hair,male characters,deceased characters,1.0,1942-10-01
gert hauptmann (earth-616),not-available,not-available,not-available,not-available,male characters,deceased characters,7.0,1978-07-01
drayson (earth-616),no dual identity,neutral characters,not-available,not-available,female characters,living characters,2.0,1939-12-01
robot delta (earth-616),secret identity,not-available,not-available,not-available,not-available,deceased characters,2.0,1966-06-01
tokkots (earth-616),not-available,bad characters,not-available,not-available,male characters,living characters,8.0,1999-02-01
parul kurinji (earth-616),secret identity,bad characters,not-available,black hair,female characters,living characters,13.0,2010-11-01
grover raymond (earth-616),secret identity,bad characters,brown eyes,black hair,male characters,deceased characters,10.0,1974-02-01
martha paterson (earth-616),secret identity,bad characters,blue eyes,not-available,female characters,living characters,5.0,1995-10-01
torpedo turner (earth-616),secret identity,bad characters,not-available,brown hair,male characters,deceased characters,1.0,1948-06-01
catherine saint (earth-616),not-available,bad characters,not-available,not-available,female characters,deceased characters,2.0,1973-10-01
oscar (earth-616),no dual identity,bad characters,brown eyes,brown hair,male characters,deceased characters,2.0,2003-07-01
crawling creature (earth-616),secret identity,bad characters,not-available,not-available,not-available,living characters,1.0,1961-08-01
obb (earth-616),no dual identity,neutral characters,white eyes,no hair,male characters,living characters,3.0,2011-04-01
thomas sorenson (earth-616),secret identity,bad characters,blue eyes,blond hair,male characters,living characters,16.0,1990-10-01
revanche (kwannon) (earth-616),secret identity,good characters,blue eyes,black hair,female characters,deceased characters,26.0,1989-12-01
stampede (earth-616),secret identity,bad characters,not-available,blond hair,female characters,living characters,2.0,1995-06-01
arthur barrington (earth-616),no dual identity,good characters,not-available,grey hair,male characters,deceased characters,2.0,1992-03-01
simon walterson (earth-616),secret identity,good characters,not-available,no hair,male characters,living characters,20.0,1986-02-01
billy wheeler (earth-616),not-available,not-available,black eyes,black hair,male characters,living characters,1.0,1987-08-01
6r (earth-616),not-available,bad characters,not-available,not-available,not-available,deceased characters,1.0,1969-07-01
iron brain (earth-616),secret identity,bad characters,not-available,grey hair,male characters,deceased characters,1.0,1949-02-01
jamil (earth-616),secret identity,bad characters,black eyes,black hair,male characters,deceased characters,5.0,1994-12-01
phaedra (marvel uk) (earth-616),not-available,not-available,not-available,not-available,female characters,living characters,3.0,1992-03-01
straw man (earth-616),secret identity,good characters,red eyes,yellow hair,male characters,living characters,12.0,1975-08-01
ben gallagher (earth-616),secret identity,good characters,not-available,brown hair,male characters,deceased characters,11.0,not-available
margaret voelker,not-available,not-available,not-available,not-available,female characters,living characters,1.0,1990-11-01
joel drake (earth-616),secret identity,not-available,brown eyes,brown hair,male characters,living characters,2.0,1984-12-01
sir hogg (earth-616),secret identity,good characters,not-available,not-available,male characters,living characters,1.0,1978-06-01
headhunter (mutant) (earth-616),secret identity,bad characters,red eyes,red hair,female characters,living characters,11.0,1990-05-01
man in the steel mask (earth-616),secret identity,bad characters,not-available,bald,male characters,living characters,1.0,1944-02-01
charles shaddock (earth-616),no dual identity,bad characters,not-available,black hair,male characters,living characters,6.0,1992-11-01
boris (latverian) (earth-616),no dual identity,neutral characters,not-available,grey hair,male characters,living characters,15.0,1964-09-01
fred davis jr. (earth-616),secret identity,good characters,blue eyes,white hair,male characters,deceased characters,81.0,1945-08-01
jordan dixon (earth-616),public identity,bad characters,not-available,not-available,male characters,deceased characters,11.0,1973-01-01
amanda batavides (earth-616),not-available,good characters,not-available,blond hair,female characters,living characters,20.0,1986-03-01
gullywhump (earth-616),not-available,good characters,not-available,no hair,not-available,living characters,3.0,1986-02-01
dwight stanford (earth-616),public identity,not-available,not-available,red hair,male characters,living characters,1.0,1979-03-01
lockheed (earth-616),secret identity,good characters,not-available,no hair,male characters,living characters,260.0,1983-02-01
frank jenks (earth-616),not-available,good characters,not-available,not-available,male characters,living characters,2.0,1973-01-01
lonnie shakespeare (earth-616),public identity,not-available,not-available,black hair,male characters,living characters,3.0,2004-08-01
gerry lequarre (earth-616),not-available,not-available,not-available,not-available,male characters,living characters,11.0,1997-01-01
lynne harris (earth-616),public identity,good characters,blue eyes,blond hair,female characters,living characters,11.0,1940-08-01
tinta (earth-616),not-available,good characters,not-available,not-available,not-available,living characters,2.0,1978-10-01
gyre (twisted sisters) (earth-616),not-available,bad characters,not-available,not-available,female characters,living characters,3.0,1999-05-01
sala\u1e25 ad-din yusuf ibn ayyub (earth-616),public identity,neutral characters,not-available,black hair,male characters,deceased characters,3.0,1949-01-01
cyclops (lobe) (earth-616),secret identity,neutral characters,not-available,black hair,male characters,living characters,5.0,2011-01-01
zuni (earth-616),no dual identity,good characters,not-available,black hair,female characters,living characters,1.0,1978-03-01
ballistik (earth-616),not-available,bad characters,not-available,red hair,female characters,living characters,2.0,1993-12-01
pearl of pyongyang (earth-616),secret identity,bad characters,not-available,black hair,female characters,living characters,2.0,1952-12-01
gloria garsen (earth-616),public identity,good characters,not-available,blond hair,female characters,living characters,4.0,1988-12-01
bitmap (earth-616),secret identity,bad characters,not-available,no hair,male characters,living characters,7.0,1994-03-01
phae-dor (earth-616),public identity,not-available,not-available,blue hair,male characters,living characters,7.0,1976-02-01
khalid inshallah (earth-616),public identity,good characters,not-available,grey hair,male characters,living characters,2.0,1989-07-01
els udonta (earth-616),secret identity,good characters,blue eyes,no hair,female characters,living characters,7.0,2010-06-01
andrei gorlovich (earth-616),not-available,bad characters,not-available,not-available,male characters,deceased characters,3.0,2006-06-01
rocco castiglione (earth-616),public identity,neutral characters,blue eyes,white hair,male characters,living characters,1.0,1990-12-01
peggy rae (earth-616),public identity,neutral characters,not-available,blond hair,female characters,living characters,7.0,2005-10-01
jack the ripper (earth-616),secret identity,bad characters,brown eyes,brown hair,male characters,deceased characters,12.0,1945-03-01
el caiman (earth-616),secret identity,bad characters,not-available,grey hair,male characters,deceased characters,1.0,1988-08-01
impala (earth-616),secret identity,not-available,brown eyes,bald,female characters,living characters,9.0,1991-07-01
arkin (earth-616),not-available,bad characters,not-available,black hair,male characters,living characters,2.0,1964-10-01
anton vanko (crimson dynamo) (earth-616),secret identity,good characters,brown eyes,bald,male characters,deceased characters,13.0,1963-10-01
roman nekoboh (earth-616),public identity,neutral characters,not-available,bald,male characters,living characters,7.0,1983-11-01
one above all (earth-616),secret identity,neutral characters,not-available,no hair,male characters,living characters,21.0,1977-01-01
jesse metuchen (earth-616),secret identity,good characters,brown eyes,brown hair,male characters,living characters,3.0,2002-11-01
elisabeth wilford (earth-616),public identity,good characters,not-available,auburn hair,female characters,living characters,6.0,1976-04-01
ashley martin (earth-616),no dual identity,not-available,not-available,blond hair,female characters,living characters,9.0,2000-08-01
franklin neal (earth-616),public identity,neutral characters,not-available,not-available,male characters,living characters,1.0,1980-04-01
john anderson (earth-616),public identity,good characters,brown eyes,blond hair,male characters,living characters,14.0,2003-09-01
mon-tog (earth-616),public identity,not-available,not-available,black hair,male characters,living characters,1.0,1977-04-01
edward cross (earth-616),public identity,bad characters,blue eyes,bald,male characters,living characters,3.0,1989-11-01
andromeda (pantheon) (earth-616),secret identity,good characters,blue eyes,blond hair,female characters,living characters,2.0,1993-12-01
patsy dragonsworth (earth-616),no dual identity,not-available,not-available,black hair,female characters,deceased characters,2.0,1976-11-01
joyride (earth-616),not-available,bad characters,not-available,not-available,male characters,living characters,1.0,1990-08-01
endgame (legion personality) (earth-616),secret identity,bad characters,not-available,not-available,not-available,living characters,3.0,2011-07-01
ikthalon (earth-616),secret identity,bad characters,not-available,no hair,male characters,living characters,4.0,1974-03-01
doris jacquet (earth-616),not-available,good characters,green eyes,brown hair,female characters,living characters,9.0,1994-01-01
barbara degioia (earth-616),secret identity,good characters,brown eyes,black hair,female characters,living characters,4.0,1995-01-01
mister million (earth-616),secret identity,good characters,not-available,blond hair,male characters,living characters,1.0,1941-04-01
piper (morlock) (earth-616),secret identity,neutral characters,blue eyes,grey hair,male characters,deceased characters,9.0,1985-06-01
j. vernon mann (earth-616),public identity,good characters,not-available,black hair,male characters,living characters,4.0,1999-10-01
ika (earth-616),not-available,good characters,not-available,not-available,female characters,living characters,10.0,1983-07-01
noble kale (earth-616),secret identity,good characters,not-available,no hair,male characters,living characters,13.0,1990-05-01
jemail karami (earth-616),not-available,bad characters,not-available,not-available,male characters,living characters,5.0,1985-04-01
nykonn (earth-616),not-available,bad characters,not-available,not-available,not-available,living characters,18.0,1977-06-01
ocar (earth-616),public identity,good characters,not-available,white hair,male characters,living characters,1.0,1973-06-01
matt coris (earth-616),secret identity,not-available,not-available,not-available,male characters,deceased characters,2.0,1989-12-01
elihas starr (earth-616),public identity,bad characters,blue eyes,bald,male characters,deceased characters,45.0,1962-12-01
rich van burian (earth-616),public identity,bad characters,blue eyes,blond hair,male characters,deceased characters,7.0,1989-03-01
ava peloso (earth-616),secret identity,not-available,not-available,brown hair,female characters,living characters,3.0,1994-05-01
cyanide (earth-616),secret identity,neutral characters,yellow eyes,bald,male characters,living characters,2.0,1993-02-01
think tank (earth-616),secret identity,good characters,not-available,not-available,male characters,living characters,4.0,2008-06-01
ace turmbull (earth-616),secret identity,bad characters,not-available,grey hair,male characters,deceased characters,1.0,1948-10-01
alonzo gonzales (earth-616),public identity,bad characters,not-available,black hair,male characters,living characters,1.0,1945-03-01
gerald ford (earth-616),public identity,not-available,not-available,not-available,male characters,living characters,9.0,1975-03-01
randall jessup (earth-616),public identity,neutral characters,brown eyes,blond hair,male characters,living characters,15.0,2013-03-01
archibald hunt (earth-616),no dual identity,bad characters,brown eyes,grey hair,male characters,living characters,5.0,2006-01-01
white man (earth-616),secret identity,bad characters,blue eyes,blond hair,male characters,living characters,2.0,not-available
jolen (earth-616),secret identity,bad characters,white eyes,brown hair,male characters,living characters,17.0,2003-08-01
"john jonah jameson, sr. (earth-616)",no dual identity,good characters,brown eyes,white hair,male characters,living characters,51.0,2009-01-01
druig (earth-616),secret identity,not-available,brown eyes,brown hair,male characters,living characters,31.0,1977-05-01
william perry (earth-616),no dual identity,good characters,not-available,not-available,male characters,living characters,1.0,1987-09-01
jacob wallaby (earth-616),not-available,not-available,not-available,not-available,male characters,living characters,2.0,1978-01-01
neut (earth-616),secret identity,bad characters,not-available,not-available,male characters,living characters,6.0,1995-10-01
lord samedar (earth-616),public identity,good characters,white eyes,not-available,male characters,living characters,4.0,1982-02-01
rolfe (asgardian) (earth-616),not-available,good characters,not-available,black hair,male characters,living characters,10.0,1985-11-01
steel harris (earth-616),public identity,bad characters,not-available,not-available,male characters,living characters,1.0,1976-12-01
ossilot (earth-616),secret identity,good characters,black eyes,brown hair,male characters,deceased characters,6.0,1966-11-01
l.d. 50 (earth-616),secret identity,bad characters,not-available,black hair,male characters,living characters,7.0,1990-11-01
vincente cimetta (earth-616),secret identity,bad characters,yellow eyes,bald,male characters,living characters,4.0,1996-02-01
general chen (earth-616),secret identity,bad characters,not-available,not-available,male characters,living characters,7.0,1966-09-01
marcel deflandre (earth-616),secret identity,good characters,not-available,no hair,male characters,living characters,2.0,2000-12-01
donald gill (earth-616),public identity,neutral characters,blue eyes,blue hair,male characters,living characters,73.0,1987-10-01
sam matonabbe (earth-616),secret identity,good characters,not-available,black hair,male characters,deceased characters,7.0,2000-11-01
timothy karlskin (earth-616),secret identity,bad characters,not-available,not-available,male characters,living characters,2.0,1992-10-01
henrique gallante (earth-616),secret identity,bad characters,brown eyes,brown hair,male characters,living characters,8.0,1993-02-01
bleeding image (legion personality) (earth-616),secret identity,bad characters,brown eyes,bald,male characters,deceased characters,2.0,2011-07-01
margoyle (earth-616),public identity,not-available,white eyes,purple hair,female characters,living characters,7.0,1995-03-01
caesar of crime (earth-616),public identity,bad characters,brown eyes,black hair,male characters,living characters,1.0,1955-09-01
kevin kennerman (earth-616),public identity,not-available,not-available,blond hair,male characters,living characters,1.0,1973-11-01
bei bang-wen (earth-616),not-available,good characters,blue eyes,bald,male characters,living characters,2.0,2007-03-01
fritz kalb (earth-616),not-available,good characters,not-available,not-available,male characters,deceased characters,2.0,2008-11-01
zarpo (earth-616),no dual identity,bad characters,not-available,black hair,male characters,deceased characters,1.0,1941-12-01
clay quartermain (earth-616),no dual identity,not-available,blue eyes,blond hair,male characters,deceased characters,97.0,1967-12-01
stellarax (earth-616),not-available,not-available,not-available,not-available,male characters,living characters,5.0,1978-11-01
pip gofern (earth-616),secret identity,good characters,green eyes,red hair,male characters,living characters,163.0,1975-04-01
taxtor (earth-616),not-available,not-available,not-available,purple hair,male characters,living characters,1.0,1969-10-01
rufus carter (earth-616),not-available,not-available,brown eyes,black hair,male characters,living characters,2.0,1981-01-01
tailgunner (earth-616),secret identity,bad characters,not-available,not-available,male characters,living characters,6.0,1989-12-01
cerise (ravens) (earth-616),not-available,bad characters,not-available,not-available,female characters,living characters,2.0,1990-08-01
leonardo da vinci (earth-616),public identity,good characters,blue eyes,blond hair,male characters,living characters,16.0,1964-01-01
tamika bowden (earth-616),secret identity,good characters,brown eyes,black hair,female characters,living characters,7.0,1993-06-01
ethan thurm (earth-616),public identity,bad characters,not-available,brown hair,male characters,living characters,10.0,1985-12-01
ixchel (earth-616),public identity,not-available,not-available,black hair,female characters,living characters,5.0,2012-08-01
phillip coulson (earth-616),no dual identity,good characters,blue eyes,brown hair,male characters,living characters,49.0,2012-01-01
raymond royton (earth-616),public identity,not-available,not-available,bald,male characters,living characters,2.0,1982-12-01
ross archer (earth-616),not-available,bad characters,not-available,grey hair,male characters,deceased characters,2.0,1970-06-01
bezial (earth-616),secret identity,bad characters,white eyes,no hair,male characters,living characters,2.0,1993-08-01
number 5 (captain america comics) (earth-616),secret identity,not-available,not-available,not-available,not-available,living characters,1.0,1941-03-01
sybyl dorn (earth-616),secret identity,bad characters,not-available,red hair,female characters,living characters,6.0,1991-07-01
benedict kine (earth-616),not-available,bad characters,not-available,grey hair,male characters,living characters,2.0,1994-10-01
michael collins (earth-616),secret identity,good characters,brown eyes,brown hair,male characters,living characters,93.0,1990-07-01
kala (earth-616),secret identity,bad characters,blue eyes,black hair,female characters,living characters,12.0,1963-07-01
talos (earth-616),public identity,neutral characters,green eyes,no hair,male characters,living characters,9.0,1994-06-01
claude cramer (earth-616),secret identity,bad characters,not-available,not-available,male characters,living characters,5.0,2009-08-01
gregory slivovitz (earth-616),secret identity,bad characters,not-available,brown hair,male characters,living characters,2.0,1994-08-01
elite (vigilante squad) (earth-616),secret identity,good characters,blue eyes,blond hair,male characters,deceased characters,9.0,2000-08-01
susan bishop (earth-616),not-available,neutral characters,not-available,black hair,female characters,living characters,2.0,2005-04-01
lucas jackson (earth-616),public identity,good characters,yellow eyes,no hair,male characters,living characters,3.0,1983-10-01
loca (inferno baby) (earth-616),secret identity,bad characters,brown eyes,black hair,female characters,deceased characters,6.0,2010-10-01
death-stalker (earth-616),not-available,bad characters,not-available,not-available,female characters,living characters,4.0,2012-02-01
parrot (earth-616),secret identity,bad characters,not-available,blond hair,male characters,deceased characters,2.0,1941-10-01
doka (snakeroot) (earth-616),secret identity,bad characters,green eyes,not-available,male characters,deceased characters,2.0,1993-10-01
molto (earth-616),secret identity,not-available,red eyes,pink hair,male characters,deceased characters,8.0,1963-10-01
ammon ra (earth-616),no dual identity,neutral characters,not-available,not-available,male characters,living characters,3.0,1980-10-01
davis (mutant) (earth-616),not-available,not-available,brown eyes,black hair,male characters,deceased characters,2.0,2003-01-01
manslaughter marsdale (earth-616),secret identity,bad characters,brown eyes,black hair,male characters,living characters,7.0,1985-12-01
george reynolds (earth-616),no dual identity,bad characters,not-available,black hair,male characters,living characters,1.0,1945-09-01
mama fury (earth-616),not-available,good characters,not-available,white hair,not-available,living characters,4.0,1969-07-01
phlish (earth-616),not-available,good characters,white eyes,not-available,not-available,deceased characters,2.0,2013-04-01
zotarr (earth-616),no dual identity,not-available,not-available,not-available,not-available,living characters,1.0,1975-08-01
cloot (earth-616),not-available,bad characters,red eyes,white hair,male characters,living characters,3.0,1989-06-01
joseph goebbels (earth-616),not-available,not-available,not-available,black hair,male characters,deceased characters,14.0,1942-06-01
michael engelschwert (earth-616),secret identity,bad characters,not-available,not-available,male characters,deceased characters,5.0,1995-08-01
ray-na (earth-616),public identity,good characters,blue eyes,black hair,female characters,deceased characters,3.0,1980-04-01
holly gillis (earth-616),not-available,good characters,not-available,not-available,female characters,living characters,14.0,1978-05-01
grigory efimovich rasputin (earth-616),public identity,bad characters,black eyes,black hair,male characters,deceased characters,5.0,2005-11-01
larry batten (earth-616),public identity,bad characters,not-available,brown hair,male characters,living characters,1.0,1946-03-01
rudy rudolph (earth-616),secret identity,bad characters,blue eyes,grey hair,male characters,living characters,1.0,1953-12-01
token (earth-616),not-available,not-available,not-available,not-available,not-available,living characters,5.0,1995-10-01
lily hollister (earth-616),public identity,bad characters,brown eyes,black hair,female characters,living characters,64.0,2008-01-01
