88 (earth-616)
sara krowler (earth-616)
sarah mumford (earth-616)
sarah stacy (earth-616)
sardanus (earth-616)
saripha thames (earth-616)
sasha (earth-616)
sasha yamir (earth-616)
sayf ad-din abu bakr al-malik al-adil (earth-616)
scab (starkey) (earth-616)
scaldings (earth-616)
scaleface (earth-616)
scatter (lilin) (earth-616)
scatterbrain (falcon enemy) (earth-616)
scope (criminal) (earth-616)
scorpio (brotherhood of the ankh) (earth-616)
screamer (spaceknight) (earth-616)
se\u00f1or muerte (terrorist) (earth-616)
sean mckeever (earth-616)
sean tully (earth-616)
sekmeht conoway (earth-616)
sentinel mk iii (earth-616)
sergei yesenofsky (earth-616)
seth (earth-616)
shadow lord (earth-616)
shadow stalker (earth-616)
shannon kane (earth-616)
shantal wilsk (earth-616)
sharkskin (earth-616)
sharon ventura (earth-616)
shawna lynde (earth-616)
sheoke sanada (earth-616)
shevaun haldane (earth-616)
shialmar (earth-616)
shinobi shaw (earth-616)
shuri (earth-616)
sidney crumb (earth-616)
sidrat-al-muntah (earth-616)
siena blaze (earth-616)
sigyn (earth-616)
silas mourner (earth-616)
silence (new wave) (earth-616)
silkworm (warpies) (earth-616)
silverfox (canadian) (earth-616)
simon steele (earth-616)
simon walterson (earth-616)
sir hogg (earth-616)
siri (earth-616)
sirocco (earth-616)
sixth light (earth-616)
skornn (earth-616)
skunk ape (earth-616)
slagmire (earth-616)
snowblind (earth-616)
soapbox (earth-616)
sofia alvarez (earth-616)
solaise (earth-616)
somnus (earth-616)
sonny tremont (earth-616)
sorrentino (earth-616)
soundscream (earth-616)
sovel redhand (earth-616)
speedo (ucwf) (earth-616)
spence williams (earth-616)
spinner (earth-616)
spinnerette (earth-616)
spoilsport (earth-616)
sponge (earth-616)
spunje (earth-616)
spyne (earth-616)
staak (earth-616)
stalax (earth-616)
stampede (earth-616)
stan finley (earth-616)
stanley george johnson (earth-616)
starbolt ii (earth-616)
steel harris (earth-616)
steelshot (earth-616)
stefan of symkaria (earth-616)
stellarax (earth-616)
stephanie gerard (earth-616)
stephen beckley (earth-616)
stephen weems (earth-616)
steve rubino (earth-616)
steven coffin (earth-616)
stilt-man (marvel team-up) (earth-616)
straw man (earth-616)
stretch (earth-616)
stringer (earth-616)
strokov (earth-616)
strongman (spider-squad) (earth-616)
stuart welles (earth-616)
sugar kane (earth-616)
sumner beckwith (earth-616)
super-adaptoid (heroes reborn) (earth-616)
susan bishop (earth-616)
sven kleinstock (earth-616)
sybil (earth-616)
sybyl dorn (earth-616)
sylvette lauziere (earth-616)
t (earth-616)
tailgunner (earth-616)
talan (earth-616)
talisman (australian) (earth-616)
talos (earth-616)
tamika bowden (earth-616)
tanak valt (earth-616)
tandy snow (earth-616)
tar (earth-616)
taranith gestal (earth-616)
tarianna (earth-616)
tath ki (earth-616)
tath ki (skrull) (earth-616)
tattoo (obadiah stane agent) (earth-616)
tattooed man (earth-616)
technarx (heroes reborn) (earth-616)
ted larkin (earth-616)
teri hillman (earth-616)
terry hightower (earth-616)
that which endures (earth-616)
theodore scott (earth-616)
theresa petty (earth-616)
thermatron (earth-616)
think tank (earth-616)
thomas agar (earth-616)
thomas logan (earth-616)
thomas smallwood (earth-616)
thomas sorenson (earth-616)
thompson (earth-616)
thor odinson (onslaught reborn) (earth-616)
threadgold (earth-616)
thrunhild (earth-616)
tim sullivan (earth-616)
time-buoy number 6-c (earth-616)
time-sink (legion personality) (earth-616)
timothy black (earth-616)
timothy dugan (skrull) (earth-616)
timothy karlskin (earth-616)
tinta (earth-616)
tithe collector (earth-616)
tito bohusk (earth-616)
tityus (earth-616)
todd keller (earth-616)
token (earth-616)
tokkots (earth-616)
tomas delgado (earth-616)
tommie boyd (earth-616)
tornaga (earth-616)
torran (earth-616)
toxin (underground legion) (earth-616)
travis nevins (earth-616)
trenton craft (earth-616)
tristan (earth-616)
troubleshooter (earth-616)
tundra (earth-616)
tung rapongan (earth-616)
turoq (earth-616)
tusk (earth-616)
tyrannix the abominoid (legion personality) (earth-616)
tyro (earth-616)
tyrone owlsley (earth-616)
ukko (earth-616)
ultimate nullifier (teen brigade) (earth-616)
ultimaton (earth-616)
ultron (heroes reborn) (earth-616)
unam (earth-616)
unipar (earth-616)
val (earth-616)
valtorr (earth-616)
vanadium (human) (earth-616)
vanessa carlysle (earth-616)
vargas (earth-616)
veil (desert sword) (earth-616)
venom (symbiote) (earth-616)
vera gemini (earth-616)
vera vidal (earth-616)
veritina (earth-616)
vic marcus (earth-616)
victor borkowski (earth-616)
victor infante (earth-616)
victor stein (earth-616)
victor von doom (heroes reborn) (earth-616)
victor von doom (impostor) (earth-616)
victoria donnely (earth-616)
victoria montesi (earth-616)
viktor smerdilovisc (earth-616)
vincent destine (earth-616)
vincent stevens (earth-616)
vincente cimetta (earth-616)
vision (doppelganger) (earth-616)
voletta todd (earth-616)
vranx (earth-616)
wally layton (earth-616)
walter declun (earth-616)
walter macken (earth-616)
walter slocum (earth-616)
wanda maximoff (skrull) (earth-616)
wani (earth-616)
warden jzemlico (earth-616)
watchfire (earth-616)
wayne gifford (earth-616)
webwing (earth-616)
wendigo (american) (earth-616)
wendy sherman (earth-616)
werner von strucker (earth-616)
wesley werner (earth-616)
whiteface (earth-616)
wilbur garvin (earth-616)
wilghe (earth-616)
wilhelm lohmer (earth-616)
william downing (earth-616)
william goldman (earth-616)
william hao (earth-616)
william kimpton (earth-616)
william knox (earth-616)
william perry (earth-616)
william taurey (earth-616)
william walters (earth-982)
william wesley (earth-616)
william young (earth-616)
willis gottfried (earth-616)
willis hayworth (earth-616)
winsor (earth-616)
wolfgang heinrich (earth-616)
wrakk (earth-616)
wylar (earth-616)
xa (earth-616)
xandarian worldmind (earth-616)
xanto starblood (earth-616)
xarus (earth-616)
xirdal (earth-616)
xxan xxar (earth-616)
yana li (earth-616)
yano (earth-616)
yasir (earth-616)
yi yang (earth-616)
yussuf hussain (earth-616)
zahgurim (earth-616)
zahnmorder (earth-616)
zalph (earth-616)
zander rice (earth-616)
zanti chikane (earth-616)
zartros (earth-616)
zebadiah creed (earth-616)
zedrao (earth-616)
zefra (earth-616)
zero (kurakill) (earth-616)
zhang heng (earth-616)
zharkah (earth-616)
zhilla char (earth-616)
zippermouth (vincent) (earth-616)
zombie (howling commandos) (earth-616)
zoran (earth-616)
zoroaster (earth-616)
zotarr (earth-616)
zuni (earth-616)
